LOCALIDAD,BARRIO,CASA DE CULTURA,MODALIDAD,DIA,HORA
RIOMAR,SAN SALVADOR,I.E.D INEDISSA (SEDE A),PERCUSION,viernes,02:00-06:00
SUROCCIDENTE,LA PAZ,CASA LUDICA LA PAZ,PERCUSION,viernes,02:00-06:00
SUROCCIDENTE,VILLA SAN PEDRO,I.E.D ALBERTO ASSA (BACHILLERATO),DANZA FOLCLORICA,martes,08:00-12:00
SUROCCIDENTE,LAS MALVINAS,I.E.D MUNDO BOLIVARIANO,DANZA FOLCLORICA,sabado,02:00-06:00
METROPOLITANA,LAS AMERICAS,I.E.D DESPERTAR DEL SUR,RECICLAJE Y MANUALIDADES,sabado,08:00-12:00
SUROCCIDENTE,CARIBE VERDE,CASA HOGAR VICTOR TAMAYO,DANZA FOLCLORICA,miercoles,08:00-12:00
METROPOLITANA,LA SIERRITA,I.E.D JESUS DE NAZARETH SEDE 2,INSTRUMENTOS DE VIENTO,jueves,02:00-06:00
SUROCCIDENTE,VILLA SAN PEDRO,I.E.D ALBERTO ASSA (BACHILLERATO),INSTRUMENTOS DE VIENTO,sabado,02:00-06:00
N.C.H.,SANTA ANA,I.E.D DEL DESARROLLO HUMANO Y CULTURAL DEL CARIBE,Maquillaje artistico,jueves,02:00-06:00
N.C.H.,BARLOVENTO,I.E.D BRISAS DEL RIO,BISUTERÍA Y ACCESORIOS,martes,02:00-06:00
RIOMAR,PINAR DEL RIO,I.E.D PINAR DEL RIO (FE Y ALEGRIA),PERCUSION,sabado,02:00-06:00
METROPOLITANA,LAS AMERICAS,I.E.D GOLDA MEIR,CONFECCION ARTESANAL,jueves,02:00-06:00
SURORIENTE,LOS LAURELES,I.E.D LOS LAURELES,DANZA FOLCLORICA,sabado,08:00-12:00
SURORIENTE,BOYACA,I.E.D SAN GABRIEL,INICIACION MUSICAL,jueves,02:00-06:00
METROPOLITANA,CAYENAS,MEGACOLEGIO GERMAN VARGAS CANTILLO (FE Y ALEGRIA),CONFECCION ARTESANAL,miercoles,02:00-06:00
RIOMAR,SAN SALVADOR,I.E.D INEDISSA (SEDE A),INICIACION MUSICAL,martes,02:00-06:00
SUROCCIDENTE,LA LIBERTAD,I.E.D LA LIBERTAD,DANZA URBANA,sabado,02:00-06:00
SURORIENTE,SAN ROQUE,CDI SAN ROQUE,PINTURA,lunes,08:00-12:00
SUROCCIDENTE,EL CARMEN,I.E.D SOFIA CAMARGO DE LLERAS,ENSAMBLES,miercoles,02:00-06:00
SUROCCIDENTE,SILENCIO,I.E.D EL SILENCIO,PERCUSION,sabado,08:00-12:00
SURORIENTE,LAS PALMAS,I.E.D MARCO FIDEL SUAREZ,PERCUSION,sabado,08:00-12:00
SURORIENTE,SOLEDAD,EL OASIS,PERCUSION,martes,02:00-06:00
N.C.H.,EL ROSARIO,I.E.D MADRE MARCELINA,PERCUSION,jueves,02:00-06:00
METROPOLITANA,GARDENIAS,MEGACOLEGIO LAS GARDENIAS,GUITARRA,viernes,02:00-06:00
N.C.H.,VILLANUEVA,I.E.D VILLANUEVA,PINTURA,martes,08:00-12:00
SUROCCIDENTE,LOS PINOS,I.E.D PARA EL DESARROLLO DEL TALENTO HUMANO,DANZA FOLCLORICA,viernes,02:00-06:00
SURORIENTE,LOS LAURELES,I.E.D LOS LAURELES,GUITARRA,sabado,08:00-12:00
N.C.H.,BARLOVENTO,I.E.D BRISAS DEL RIO,PINTURA,martes,02:00-06:00
RIOMAR,VEREDA LAS NUBES,CENTRO DE EDUCACION BASICA N. 201,DANZA MODERNA,miercoles,08:00-12:00
METROPOLITANA,CEVILLAR,I.E.D SIMON BOLIVAR,GUITARRA,jueves,02:00-06:00
SUROCCIDENTE,LA ESMERALDA,CDI LA ESMERALDA,RECICLAJE Y MANUALIDADES,viernes,08:00-12:00
SURORIENTE,SIMON BOLIVAR,I.E.D LUZ DEL CARIBE,PERCUSION,sabado,02:00-06:00
SUROCCIDENTE,PUMAREJO (BUENA ESPERANZA),I.E.D JAVIER SANCHEZ,LITERATURA,sabado,02:00-06:00
METROPOLITANA,20 DE JULIO,I.E.D JESUS MISERICORDIOSO N. 1,DANZA FOLCLORICA,sabado,02:00-06:00
METROPOLITANA,CARRIZAL,CDI FUNDACION SOCIAL JAIPRIS,PERCUSION,lunes,08:00-12:00
SUROCCIDENTE,CARIBE VERDE,CASA HOGAR VICTOR TAMAYO,INICIACION MUSICAL,viernes,02:00-06:00
RIOMAR,LA PLAYA,INSTITUCION EDUCATIVA CRISTIANA LA ROSA DE SARON,PERCUSION,martes,02:00-06:00
RIOMAR,LA PLAYA,INSTITUCION EDUCATIVA FUNDACION PIES DELCALZOS,PERCUSION,domingo,08:00-12:00
SUROCCIDENTE,EL PUEBLO,I.E.D EL PUEBLO,PINTURA,sabado,02:00-06:00
RIOMAR,LA PLAYA,INSTITUCION EDUCATIVA FUNDACION PIES DELCALZOS,RECICLAJE Y MANUALIDADES,domingo,08:00-12:00
RIOMAR,LAS FLORES,COLEGIO LIBERTADOR SIMON BOLIVAR (FE Y ALEGRIA),PINTURA,miercoles,02:00-06:00
SUROCCIDENTE,SAN FELIPE,I.E.D HILDA MUÑOZ,TEATRO,miercoles,08:00-12:00
METROPOLITANA,SAN LUIS,I.E.D SAN LUIS BACHILLERATO,PINTURA,sabado,08:00-12:00
SUROCCIDENTE,EL PUEBLO,I.E.D EL PUEBLO,RECICLAJE Y MANUALIDADES,sabado,02:00-06:00
SURORIENTE,CAMPITO,I.E.D EL CAMPITO,PINTURA,sabado,02:00-06:00
RIOMAR,LA PLAYA,HOGAR INFANTIL LA PLAYA,DANZA FOLCLORICA,martes,08:00-12:00
